88,82,81,88,82,75,82,71,79,72,90,80,78,83,84,75,78,74,79,73,78,87,69,81,73,74,78,77,75,89,88,85,80,77,86,75,81,76,84,77,84,74,70,82,76,78,82,81,83,80,84,80,84,82,78,82,77,74,75,79,82,83,77,84,86,83,80,79,83,84,82,76,71,80,84,80,87,89,81,71,85,83,84,81,66,73,70,76,73,70,75,77,77,88,77,74,80,86,79,83,82,73,79,72,79,76,81,74,77,79,78,74,80,77,82,75,75,82,86,76,87,88,79,73,85,86,73,79,78,82,75,74,83,77,74,72,77,70,81,78,79,75,80,79,69,83,77,71,77,74,71,79,83,80,73,77,77,71,72,74,72,82,80,81,85,87,79,74,76,78,80,77,79,69,76,75,84,74,84,77,74,78,85,74,76,76,78,82,81,84,82,81,81,79,77,85,80,81,75,79,70,87,77,67,75,76,89,81,73,81,64,80,76,78,71,75,75,82,74,67,78,86,77,82,76,82,85,78,70,82,80,78,76,77,80,76,81,77,78,77,70,77,70,70,85,82,78,77,73,69,69,75,72,80,80,80,83,88,78,85,83,78,77,78,71,82,79,73,77,77,85,80,73,78,79,73,78,80,86,85,82,79,69,79,80,83,77,84,74,72,81,85,76,83,73,79,81,73,79,68,81,78,75,76,83,87,72,65,75,78,85,82,81,90,78,84,80,81,76,84,76,69,77,76,78,77,83,77,80,84,81,80,79,78,80,78,77,82,79,85,81,79,80,80,78,85,78,70,83,74,72,86,75,76,82,80,82,84,77,82,83,84,78,72,78,71,82,76,83,76,84,85,78,75,74,79,80,75,79,82,88,90,82,91,85,80,80,81,75,77,85,76,82,79,76,69,81,73,84,85,81,71,84,82,81,86,76,83,76,73,75,82,74,87,83,77,76,71,82,84,91,82,82,82,71,82,73,87,88,81,86,76,87,86,80,81,79,81,75,75,72,76,80,74,79,86,82,73,79,78,86,73,71,70,65,78,78,77,75,79,79,81,82,84,72,77,75,82,76,72,79,83,74,78,79,73,74,75,77,82,82,79,75,83,76,85,81,76,67,64,79,75,70,77,74,69,81,80,69,77,
70,58,53,63,57,50,66,70,63,70,54,58,63,57,64,59,57,50,69,53,53,51,64,63,54,56,54,63,51,57,64,61,52,56,53,53,51,53,62,62,63,60,63,54,53,67,66,61,65,57,69,59,67,54,61,61,56,55,65,63,62,58,63,54,61,64,58,66,69,64,63,56,66,57,65,64,66,63,59,61,56,61,58,60,59,56,65,62,72,61,62,69,68,58,59,50,57,59,49,49,57,58,58,57,56,59,63,62,62,56,60,60,59,58,53,61,60,62,62,58,66,65,60,64,65,67,63,58,59,61,59,62,64,66,57,59,55,53,55,65,57,56,54,60,60,64,62,67,58,69,70,59,63,62,58,63,65,58,68,64,61,63,55,51,58,60,58,60,55,68,56,62,58,61,63,63,65,58,63,66,70,67,48,58,64,59,60,54,62,66,61,63,49,57,64,65,61,59,67,54,54,64,69,62,55,62,46,63,62,65,64,54,61,56,69,66,57,72,61,62,64,72,68,65,53,49,68,63,64,62,64,64,60,60,70,60,65,62,67,53,68,64,46,61,55,50,62,52,61,66,59,54,59,69,66,65,59,56,55,59,58,56,70,64,65,64,60,62,72,54,55,55,62,60,56,58,59,58,63,59,60,53,61,55,57,65,60,52,65,61,49,62,65,61,64,52,63,55,65,62,59,57,50,71,61,65,62,53,57,59,56,56,67,69,53,60,63,62,62,54,55,54,52,55,60,58,56,57,66,51,47,55,54,60,53,65,63,62,61,62,66,64,67,69,55,59,62,61,54,57,53,56,51,52,49,56,66,58,65,58,66,63,62,55,56,46,53,54,61,56,63,59,62,65,48,60,62,61,69,70,64,60,62,58,55,56,56,53,58,61,52,62,66,64,57,60,59,67,64,65,55,61,62,56,55,57,64,63,63,57,64,62,58,68,69,64,66,55,63,59,59,59,67,60,56,68,54,51,65,60,64,61,55,61,63,55,63,63,55,48,69,57,61,66,57,60,63,58,73,74,64,64,65,59,53,63,58,71,63,63,65,51,61,64,62,62,59,47,54,61,60,58,70,66,72,72,69,62,59,53,66,67,60,59,64,63,63,58,60,62,57,65,64,54,57,67,52,59,73,55,
55,41,44,44,37,40,37,39,32,47,37,33,46,43,39,37,40,41,41,41,33,35,30,40,40,39,33,33,30,43,37,35,34,39,31,30,39,33,39,39,33,45,37,42,43,35,35,37,43,36,41,32,31,40,45,49,35,29,33,31,39,28,34,36,33,48,38,32,35,42,41,39,34,27,33,41,31,33,37,33,44,25,26,39,39,35,40,46,36,38,46,38,43,37,37,43,39,38,35,40,47,29,31,36,41,37,39,41,31,38,37,36,28,40,39,34,40,41,36,36,35,40,37,36,45,36,42,34,41,35,43,42,37,39,38,36,38,35,30,41,43,40,40,38,48,40,46,32,38,36,30,41,42,39,40,34,41,41,44,34,40,42,40,30,38,37,38,47,46,35,40,40,35,42,34,29,37,31,38,40,31,37,31,43,29,34,46,41,34,36,42,37,40,39,37,36,46,39,48,35,36,41,38,42,39,41,43,33,35,41,33,34,28,34,36,34,35,36,40,34,40,36,41,34,43,38,30,40,38,32,40,38,41,40,39,41,36,39,42,34,38,41,30,50,42,28,41,53,36,39,40,42,27,35,36,36,52,40,39,39,37,26,39,43,35,41,44,33,38,33,44,38,33,37,36,35,37,46,40,35,34,40,37,41,36,32,42,41,40,40,41,41,48,37,34,36,26,36,43,44,38,41,38,38,38,45,37,47,35,34,40,45,37,27,39,38,39,49,44,36,43,42,37,44,31,43,45,38,40,42,35,40,32,35,40,28,38,41,35,42,35,38,43,32,38,38,39,43,40,41,43,49,43,39,38,44,33,40,28,32,35,36,39,32,44,41,46,40,34,35,40,39,43,30,44,45,33,39,43,37,35,35,41,35,35,36,34,34,31,41,39,35,36,41,42,38,37,39,36,44,36,45,36,41,35,39,38,31,35,42,39,38,32,35,37,32,33,30,35,37,34,35,44,40,28,36,39,40,40,44,31,36,39,37,39,31,35,30,32,48,53,34,39,39,32,38,34,43,46,37,37,44,38,42,39,30,35,33,31,48,48,39,31,48,34,39,35,41,41,39,36,41,30,41,40,35,35,35,36,42,42,32,38,30,41,37,31,38,32,34,40,36,37,34,33,32,37,44,36,38,
35,37,30,35,29,23,25,23,19,21,29,23,24,22,29,18,14,22,21,26,19,25,27,22,21,26,21,16,18,19,21,16,16,25,16,17,23,17,21,21,26,22,24,25,21,26,13,12,21,22,22,13,29,21,15,17,19,20,23,12,21,29,33,25,19,24,24,25,23,23,26,27,29,20,27,15,29,22,15,23,17,19,22,23,27,28,27,29,18,23,17,19,28,27,21,26,26,25,20,29,22,17,23,30,20,25,33,26,16,19,20,33,27,23,28,22,24,28,20,19,16,22,29,30,20,20,23,24,18,17,21,25,19,21,23,14,27,21,21,28,22,23,20,26,21,18,23,20,23,26,22,30,17,17,19,20,29,25,17,17,21,25,28,30,30,23,16,31,21,25,21,20,24,21,30,22,23,18,25,20,23,25,20,23,23,25,25,25,18,22,22,25,21,21,15,24,22,30,23,19,23,25,23,23,24,25,19,21,15,19,26,20,23,24,22,22,11,23,24,17,23,28,22,21,15,26,23,25,21,25,23,23,23,13,20,28,19,22,26,26,14,18,20,13,16,21,12,17,23,21,23,15,24,20,25,29,26,28,21,19,24,28,18,21,26,19,22,29,29,21,19,25,28,28,25,27,27,23,15,23,28,23,15,14,29,14,13,20,21,29,25,18,21,18,25,27,25,24,25,24,18,13,16,22,21,21,29,19,33,23,19,16,20,21,23,18,16,25,19,28,21,23,23,32,20,24,26,25,25,28,23,23,24,20,24,17,26,19,20,24,22,26,18,26,12,23,21,29,24,18,15,22,27,27,15,20,23,23,29,13,25,15,18,23,16,21,25,23,23,16,23,19,29,22,31,22,21,29,27,20,27,19,17,25,20,16,24,26,20,24,24,16,21,23,27,30,25,22,22,18,25,20,17,20,21,22,15,22,21,14,22,25,26,22,25,23,19,24,24,22,27,20,25,31,27,20,34,26,24,17,20,19,25,28,19,24,25,24,31,22,28,17,14,26,23,16,27,20,30,21,23,21,20,22,25,22,29,23,17,18,26,20,23,23,26,22,27,25,17,16,22,15,26,21,16,26,19,25,21,23,22,26,25,16,17,30,19,31,20,20,14,26,26,18,25,18,24,22,24,22,
51,34,21,21,18,14,12,19,15,11,17,17,13,5,14,16,17,18,18,11,15,9,17,20,8,19,11,8,11,11,11,13,10,10,9,8,7,12,11,10,18,8,13,17,11,10,10,14,9,14,14,12,12,12,10,17,16,13,10,11,16,12,8,11,13,10,10,14,11,10,14,13,17,17,10,12,8,14,14,11,8,12,18,12,12,8,13,9,17,14,10,14,9,15,11,12,14,15,8,9,5,14,16,12,14,8,15,9,11,12,10,11,15,12,16,14,7,12,9,20,11,8,10,9,11,10,14,11,13,10,13,12,14,10,14,13,8,8,10,13,12,8,7,17,8,12,13,14,16,14,9,12,7,13,10,14,10,12,9,13,9,15,11,6,10,12,11,12,11,4,13,9,6,12,9,13,9,18,9,11,9,16,16,16,7,14,9,9,10,7,15,16,11,13,10,6,13,8,14,8,16,18,10,16,7,11,13,11,9,10,13,11,10,16,10,15,10,8,6,14,18,14,13,11,8,12,11,14,13,8,10,14,8,13,9,12,14,14,12,7,16,14,16,13,12,9,16,13,14,9,10,14,10,13,8,8,10,12,11,7,6,13,20,9,14,9,5,17,9,13,11,17,15,10,9,5,14,11,7,9,12,13,8,10,11,8,13,13,8,7,18,14,13,18,11,15,18,12,12,10,11,11,10,15,13,9,18,14,10,11,16,8,15,15,12,12,13,15,7,21,13,15,15,10,15,22,10,10,17,14,6,13,13,10,12,8,10,13,16,12,12,13,16,11,12,16,13,11,5,13,14,12,12,8,9,7,8,9,6,12,6,11,13,12,7,15,14,12,16,20,11,15,10,18,14,12,17,7,10,10,13,13,10,17,9,4,10,12,12,7,11,8,11,7,9,11,10,11,7,11,21,13,15,12,12,8,13,8,17,15,8,13,9,15,16,12,12,19,6,11,12,13,11,8,10,14,12,12,13,13,16,12,15,18,9,7,13,16,17,10,8,14,13,17,7,6,13,10,13,11,15,16,14,11,6,17,12,12,15,9,21,10,13,12,15,11,7,9,6,11,12,10,10,7,8,11,11,10,13,6,11,15,10,9,7,11,11,11,15,16,11,7,10,9,6,16,11,15,15,5,
35,22,21,25,12,11,9,15,6,10,2,8,7,7,10,5,11,8,3,6,8,5,5,8,1,10,8,3,4,5,4,6,4,4,2,4,5,1,7,4,4,7,5,8,7,6,5,5,5,8,7,6,2,3,4,2,5,4,2,5,2,4,4,9,2,6,5,3,3,3,6,9,5,6,16,9,8,6,9,2,5,6,6,7,3,4,2,8,1,4,9,4,9,3,5,4,3,1,4,7,4,4,5,5,6,3,3,7,8,4,5,3,4,8,7,3,6,11,8,2,5,5,9,7,5,12,3,3,4,5,4,7,7,10,8,5,4,5,8,9,3,7,3,10,10,6,5,5,6,5,6,6,9,12,6,5,8,4,2,9,5,3,4,3,5,7,7,4,6,4,6,5,8,8,7,10,3,8,3,6,6,9,7,2,6,4,7,7,4,9,10,8,4,2,5,13,5,3,8,6,3,7,5,6,2,6,4,5,6,4,10,4,4,11,4,8,6,3,5,6,8,5,9,8,7,7,4,6,4,8,8,8,6,6,0,8,6,4,11,3,4,6,6,4,9,5,7,5,3,4,3,5,7,4,4,3,9,3,6,6,7,7,8,8,4,9,8,7,5,3,4,13,4,3,7,5,7,7,3,8,7,7,7,8,9,6,4,5,7,9,4,6,9,2,4,7,7,5,6,7,4,6,8,8,4,7,4,7,9,4,6,12,7,10,5,8,1,12,13,5,5,4,8,5,6,6,7,7,6,5,4,13,8,3,6,8,8,8,9,6,4,2,2,2,3,4,6,5,4,1,5,7,6,3,6,7,1,3,4,3,5,4,5,2,4,10,8,2,7,5,5,1,7,4,9,11,3,3,6,5,4,1,3,7,6,4,9,4,12,6,6,8,8,4,3,2,2,4,7,5,1,5,6,7,2,8,9,8,5,6,6,8,3,6,4,9,8,6,3,7,8,4,7,7,4,3,12,6,5,5,4,5,9,10,6,3,4,10,10,7,6,3,4,6,6,4,9,5,8,4,7,5,4,2,5,4,5,4,10,8,6,4,7,7,8,10,9,9,4,6,9,7,6,5,4,1,7,4,9,5,6,4,5,5,2,4,8,1,5,4,6,8,6,7,8,5,10,10,5,13,
40,21,26,15,12,11,10,9,10,6,7,2,0,4,9,3,4,6,5,5,8,6,2,2,4,1,3,3,2,2,3,2,2,3,2,3,4,3,2,2,4,6,4,5,3,4,6,2,3,2,4,6,2,3,3,1,2,4,1,1,4,6,4,5,2,6,2,2,3,4,2,0,4,7,0,4,4,3,3,2,3,1,2,4,1,1,3,3,3,2,4,4,3,6,6,2,5,4,3,4,2,5,0,3,1,3,7,7,3,2,3,3,4,3,5,1,3,5,3,3,3,1,1,4,4,0,3,3,5,0,1,2,2,3,2,2,1,7,4,5,6,1,3,1,6,4,4,5,2,2,6,3,5,2,3,1,4,5,5,5,1,5,5,5,2,0,0,3,2,2,0,2,3,1,2,3,3,3,1,3,4,1,2,3,3,2,3,3,2,4,3,1,4,3,3,5,1,2,2,1,3,2,1,4,1,8,5,5,1,4,0,5,1,2,4,3,2,2,1,5,0,4,2,4,1,1,4,3,4,1,7,2,5,0,2,0,1,3,3,0,6,2,1,5,4,3,2,2,3,4,5,2,3,5,5,3,1,3,3,4,1,3,1,4,2,0,1,4,5,5,3,1,4,1,1,3,2,3,2,3,3,5,1,4,4,5,3,1,5,2,3,3,8,3,4,3,1,1,4,2,3,2,3,3,3,2,5,2,2,2,2,2,1,0,5,3,2,2,0,4,0,0,4,2,6,2,4,3,6,1,1,3,3,2,6,3,4,1,6,2,2,2,2,1,1,3,5,3,0,3,1,0,4,2,3,2,2,1,5,3,1,4,5,3,0,2,6,2,5,5,2,6,4,5,2,3,2,2,3,4,1,4,3,4,2,4,4,2,1,2,4,5,1,1,1,3,2,5,3,5,2,7,2,4,2,4,2,0,4,2,1,2,1,4,6,6,5,3,3,2,4,5,2,3,1,0,3,1,1,2,1,2,5,4,5,1,1,3,1,0,2,2,2,3,0,4,2,2,4,1,3,3,5,3,2,6,2,3,4,1,3,1,2,5,4,2,3,3,2,2,0,1,1,6,4,2,3,1,4,2,3,5,2,2,4,1,1,4,7,0,2,6,1,2,4,2,2,2,2,4,
36,24,18,10,13,9,13,9,8,4,9,12,4,6,3,4,6,2,3,7,4,4,3,3,2,3,2,1,3,3,2,5,3,1,1,2,1,3,2,1,5,2,1,0,4,2,0,0,1,3,1,2,5,1,1,4,1,3,2,0,3,1,2,2,3,0,2,2,1,3,2,0,0,1,3,2,3,1,1,1,2,1,2,0,0,0,0,1,2,2,1,2,1,3,0,1,1,1,0,1,4,0,1,2,1,0,2,1,1,0,0,0,1,1,2,2,1,1,2,0,0,0,3,0,1,2,0,3,3,0,0,3,1,1,0,1,1,1,0,1,3,2,3,1,1,0,2,2,1,1,1,2,1,0,1,4,2,2,0,3,0,0,0,0,0,1,2,1,0,1,1,0,1,1,0,0,1,2,0,1,0,0,3,2,2,1,0,1,2,1,0,2,1,1,1,1,1,1,2,0,2,1,2,2,1,0,1,1,0,0,0,2,3,1,0,3,1,0,0,2,0,1,0,1,1,1,0,0,2,0,2,1,0,2,0,1,1,0,1,1,0,2,0,2,2,0,0,0,1,0,0,1,0,2,1,0,0,1,2,1,1,3,0,0,1,2,0,1,0,0,2,1,4,0,0,4,1,1,1,0,0,0,2,3,0,0,1,0,0,2,1,2,0,1,2,0,0,0,1,1,0,2,0,1,5,0,2,1,0,0,2,1,0,0,1,3,1,1,0,0,1,1,0,1,1,1,1,1,1,2,0,1,0,0,1,0,1,2,1,1,1,3,1,1,4,2,0,1,3,1,1,1,2,0,0,2,1,0,1,1,2,0,0,0,1,1,0,2,0,0,0,1,1,2,1,2,0,2,1,1,2,1,2,1,1,1,1,0,0,1,2,1,1,0,0,0,2,0,0,0,0,2,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2,2,2,0,1,1,0,1,1,0,0,1,0,1,1,0,0,2,3,0,1,0,1,2,1,4,1,1,2,0,1,1,1,0,1,1,2,1,3,0,0,1,1,0,0,0,0,0,0,1,1,2,4,1,0,0,2,0,0,1,1,2,0,1,0,1,0,1,2,1,1,0,0,1,0,1,1,
